numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1226132,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226133,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226134,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226135,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226136,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226137,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226138,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226139,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226141,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226142,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226143,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226144,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226145,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226146,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226059,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1226147,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226060,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1226148,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226061,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1226150,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226062,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1509571,LIE 01,"MONITOR DE VIDEO 23,8 POLEGADAS - DELL",30/04/2023
1226063,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549635,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226064,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549636,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226065,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549637,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549638,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549639,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226067,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549640,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549641,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226068,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549642,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549643,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549644,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226069,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549645,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226070,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549646,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226071,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549647,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226072,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549648,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226073,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549649,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226074,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549650,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226075,LIE 01,MICROCOMPUTADOR PARA LIE - DELL,15/02/2017
1549651,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549652,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549653,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226016,LIE 01,MICROCOMPUTADOR PARA LIE (ANEXO) - DELL,17/02/2017
1549654,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226025,LIE 01,MICROCOMPUTADOR PARA LIE (ANEXO) - DELL,17/02/2017
1549655,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1530145,LIE 01,MICROFONE SEM FIO HEADSET,10/01/2024
1549656,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226099,LIE 01,"MONITOR DE VIDEO 21,5 POLEGADAS - DELL",28/02/2017
1549657,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226114,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549658,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549659,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549660,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226115,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549661,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226116,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549662,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226117,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549663,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226118,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549664,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226119,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549665,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226120,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1549666,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549667,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549668,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1549669,LIE 01,NOTEBOOK P/LAB. DE MIDIA TECNOLOGIA 6MB,11/03/2024
1226121,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1175240,LIE 01,NOTEBOOK PRODUTIVIDADE - HP 440 GI,02/07/2014
1226122,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1175244,LIE 01,NOTEBOOK PRODUTIVIDADE - HP 440 GI,02/07/2014
1226123,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1226124,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1175250,LIE 01,NOTEBOOK PRODUTIVIDADE - HP 440 GI,02/07/2014
1226125,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1175255,LIE 01,NOTEBOOK PRODUTIVIDADE - HP 440 GI,02/07/2014
1226126,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1175259,LIE 01,NOTEBOOK PRODUTIVIDADE - HP 440 GI,02/07/2014
1226127,LIE 01,MONITOR DE VIDEO 21.5 POLEGADAS - DELL,28/02/2017
1345297,LIE 01,PROJETOR MULTIMIDIA INTERATIVO,31/03/2020
1234743,LIE 01,PROJETOR MULTIMIDIA INTERATIVO - BENQ,21/03/2017
1220787,LIE 01,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
1522203,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522204,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522205,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522206,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522207,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522208,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522209,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522210,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522211,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522212,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522213,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522214,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522215,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522216,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522217,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1522218,LIE 01,SMARTPHONE ANDROID AVANCADO,28/10/2023
1523778,LIE 01,TABLET ANDROID AVANCADO EXPANSIVEL 128GB,10/11/2023
1523779,LIE 01,TABLET ANDROID AVANCADO EXPANSIVEL 128GB,10/11/2023
1509658,LIE 01,TELEVISOR SMART 65 POLEGADAS 4K,30/04/2023
1056209,LIE 01,VIDEO GAME SONY - PLAYSTATION II SLIM,28/09/2012
1509055,LIE 01,WORKSTATION CORPORATIVO,26/04/2023
